거래일,거래시간,지역,연료원,전력거래량(MWh)
2025-01-01,8,대구시,태양광,0.143203
2025-01-01,9,대구시,태양광,7.848985
2025-01-01,10,대구시,태양광,26.273802
2025-01-01,11,대구시,태양광,43.405954
2025-01-01,12,대구시,태양광,52.459698
2025-01-01,13,대구시,태양광,56.097839
2025-01-01,14,대구시,태양광,54.946177
2025-01-01,15,대구시,태양광,45.904011
2025-01-01,16,대구시,태양광,28.000667
2025-01-01,17,대구시,태양광,12.842829
2025-01-01,18,대구시,태양광,5.291039
2025-01-01,19,대구시,태양광,6.015812
2025-01-01,20,대구시,태양광,4.145784
2025-01-01,21,대구시,태양광,2.592648
2025-01-01,22,대구시,태양광,1.04972
2025-01-01,23,대구시,태양광,0.13104
2025-01-01,24,대구시,태양광,0
2025-01-01,1,대전시,태양광,0
2025-01-01,2,대전시,태양광,0
2025-01-01,3,대전시,태양광,0
2025-01-01,4,대전시,태양광,0
2025-01-01,5,대전시,태양광,0
2025-01-01,6,대전시,태양광,0
2025-01-01,7,대전시,태양광,0
2025-01-01,8,대전시,태양광,0.003332
2025-01-01,9,대전시,태양광,0.849357
2025-01-01,10,대전시,태양광,3.66486
2025-01-01,11,대전시,태양광,5.814373
2025-01-01,12,대전시,태양광,8.37237
2025-01-01,13,대전시,태양광,9.203435
2025-01-01,14,대전시,태양광,8.798817
2025-01-01,15,대전시,태양광,7.33683
2025-01-01,16,대전시,태양광,4.468636
2025-01-01,17,대전시,태양광,1.399398
2025-01-01,18,대전시,태양광,0.057094
2025-01-01,19,대전시,태양광,0
2025-01-01,20,대전시,태양광,0
2025-01-01,21,대전시,태양광,0
2025-01-01,22,대전시,태양광,0
2025-01-01,23,대전시,태양광,0
2025-01-01,24,대전시,태양광,0
2025-01-01,1,부산시,태양광,0
2025-01-01,2,부산시,태양광,0
2025-01-01,3,부산시,태양광,0
2025-01-01,4,부산시,태양광,0
2025-01-01,5,부산시,태양광,0
2025-01-01,6,부산시,태양광,0
2025-01-01,7,부산시,태양광,0
2025-01-01,8,부산시,태양광,0.36135
2025-01-01,9,부산시,태양광,11.318158
2025-01-01,10,부산시,태양광,39.139541
2025-01-01,11,부산시,태양광,61.016803
2025-01-01,12,부산시,태양광,73.106555
2025-01-01,13,부산시,태양광,76.68877
2025-01-01,14,부산시,태양광,71.959697
2025-01-01,15,부산시,태양광,59.300495
2025-01-01,16,부산시,태양광,37.201361
2025-01-01,17,부산시,태양광,11.921248
2025-01-01,18,부산시,태양광,2.932837
2025-01-01,19,부산시,태양광,3.58358
2025-01-01,20,부산시,태양광,3.3968
2025-01-01,21,부산시,태양광,2.657976
2025-01-01,22,부산시,태양광,0.613392
2025-01-01,23,부산시,태양광,0.01152
2025-01-01,24,부산시,태양광,0
2025-01-01,1,서울시,태양광,0
2025-01-01,2,서울시,태양광,0
2025-01-01,3,서울시,태양광,0
2025-01-01,4,서울시,태양광,0
2025-01-01,5,서울시,태양광,0
2025-01-01,6,서울시,태양광,0
2025-01-01,7,서울시,태양광,0
2025-01-01,8,서울시,태양광,0.003134
2025-01-01,9,서울시,태양광,0.346015
2025-01-01,10,서울시,태양광,1.451674
2025-01-01,11,서울시,태양광,4.094621
2025-01-01,12,서울시,태양광,8.064765
2025-01-01,13,서울시,태양광,8.219643
2025-01-01,14,서울시,태양광,7.147795
2025-01-01,15,서울시,태양광,5.804435
2025-01-01,16,서울시,태양광,4.645029
2025-01-01,17,서울시,태양광,1.532556
2025-01-01,18,서울시,태양광,0.067121
2025-01-01,19,서울시,태양광,0.04864
2025-01-01,20,서울시,태양광,0.1628
2025-01-01,21,서울시,태양광,0.1608
2025-01-01,22,서울시,태양광,0.06812
2025-01-01,23,서울시,태양광,0
2025-01-01,24,서울시,태양광,0
2025-01-01,1,세종시,태양광,0
2025-01-01,2,세종시,태양광,0
2025-01-01,3,세종시,태양광,0
